tipo;uri;parent_uri;fecha;usuario;id_anonimo;contenido;likes;reposts;replies;media_path;idioma_ia;relevancia_ia;seguidores;texto_citado
COMENTARIO;at://did:plc:c45j4n7ebxmemfetli7l2fiz/app.bsky.feed.post/3mk5w2rrqfk2g;at://did:plc:vf4cpmuk2qhgu3nm63llvih6/app.bsky.feed.post/3mk56rfmgac2z;2026-04-23T11:32:39.366Z;bettyblueaesztia.bsky.social;ECBE1A45C3522889;"Supina ignorancia
Buen día 😘";0;0;0;;Desconocido;SI;;
COMENTARIO;at://did:plc:bzlno3tkkvkt5dsx2wlgcdlp/app.bsky.feed.post/3mk5ezdbzxk2g;at://did:plc:vf4cpmuk2qhgu3nm63llvih6/app.bsky.feed.post/3mk56rfmgac2z;2026-04-23T06:27:37.007Z;moscaraja.bsky.social;65768922F2C224D3;Con Feijoo nada es viejo, todo es inútil;1;0;0;;Desconocido;SI;;
COMENTARIO;at://did:plc:bevpwjabobqhxxm6ejlsezjc/app.bsky.feed.post/3mk5elulfzc24;at://did:plc:vf4cpmuk2qhgu3nm63llvih6/app.bsky.feed.post/3mk56rfmgac2z;2026-04-23T06:20:05.378Z;satancucufato.satan.social;F416284CB3140D08;Pero nunca superara el Zalacaín de Azorín de cierta señora asquerosa;3;0;0;;Desconocido;SI;;
COMENTARIO;at://did:plc:auheb534vds5diviypi7drbi/app.bsky.feed.post/3mk57xbvcck2x;at://did:plc:vf4cpmuk2qhgu3nm63llvih6/app.bsky.feed.post/3mk56rfmgac2z;2026-04-23T04:56:59.723Z;robbhaifisch.bsky.social;716865707048B6E0;Buenos días, Piur!!!;2;0;1;;Desconocido;SI;;
COMENTARIO;at://did:plc:7a5bv3lxwz5qzddhgjxfkisa/app.bsky.feed.post/3mk57s33fsk2e;at://did:plc:vf4cpmuk2qhgu3nm63llvih6/app.bsky.feed.post/3mk56rfmgac2z;2026-04-23T04:54:04.811Z;saki-perez.bsky.social;88429DF7F8284B8E;"Feliç Sant Jordi.
Hoy si que echo mucho de menos estar en Bcn.";2;0;1;;Desconocido;SI;;
COMENTARIO;at://did:plc:5kazmqfmib63mqsqqg77prtb/app.bsky.feed.post/3mk5b56pmxs2l;at://did:plc:vf4cpmuk2qhgu3nm63llvih6/app.bsky.feed.post/3mk56rfmgac2z;2026-04-23T05:18:11.460Z;oscarsumano.bsky.social;E6A6770CFB06082E;Buenos días, Piur;2;0;1;;Desconocido;SI;;
COMENTARIO;at://did:plc:4cqi7562boqix3wtwpavupuu/app.bsky.feed.post/3mk5el5b37c2n;at://did:plc:vf4cpmuk2qhgu3nm63llvih6/app.bsky.feed.post/3mk56rfmgac2z;2026-04-23T06:19:40.920Z;longuito.bsky.social;A40D25BD594CD1E5;Bonyu;1;0;1;;Desconocido;SI;;
POST;at://did:plc:us4rq6sao32xbbszowfdt7lp/app.bsky.feed.post/3mk56gjhodc2v;at://did:plc:us4rq6sao32xbbszowfdt7lp/app.bsky.feed.post/3mk56gjhodc2v;2026-04-23T04:29:43.498Z;pateandoespana.bsky.social;FF3FE5AC01FCBA00;youtube.com/shorts/myknS...;0;0;0;;Desconocido;SI;181;
POST;at://did:plc:nykmwazapmalw2crvse2vt6k/app.bsky.feed.post/3mk55vjw7j22s;at://did:plc:nykmwazapmalw2crvse2vt6k/app.bsky.feed.post/3mk55vjw7j22s;2026-04-23T04:20:13.548Z;gserranoeng.bsky.social;77DC185E26F9D741;Encontré una canción para ti... La Perla por ROSALÍA 🔥 Escúchala ahora en #Deezer. link.deezer.com/s/334oXgbR2E...;1;0;0;;Desconocido;SI;588;
POST;at://did:plc:a2z5hrt5zud7ip5if76uy2ir/app.bsky.feed.post/3mk552cp5ms2t;at://did:plc:a2z5hrt5zud7ip5if76uy2ir/app.bsky.feed.post/3mk552cp5ms2t;2026-04-23T04:05:00.003Z;enbyee.bsky.social;56FD38F953133DA6;graças a rosalia eu tenho;2;0;1;;Desconocido;SI;253;"Gente, vocês conhecem uma música que tem o nome de vocês (no título ou na letra)? Se sim, qual?

Sempre tive um leve sofrimento pelo baixo índice de Rodrigos nas músicas."
